"y" "n"
"1" 21 26
"2" 15 16
"3" 12 12
"4" 15 17
"5" 11 18
"6" 14 15
"7" 27 30
"8" 17 20
"9" 23 23
"10" 19 22
"11" 17 18
"12" 8 10
"13" 14 16
"14" 21 25
"15" 15 15
"16" 15 18
"17" 15 20
"18" 18 22
"19" 21 22
"20" 17 24
"21" 14 27
"22" 19 22
"23" 20 21
"24" 10 12
"25" 10 20
"26" 18 18
"27" 12 15
"28" 28 28
"29" 27 28
"30" 20 27
"31" 18 19
"32" 21 21
"33" 8 17
"34" 22 22
"35" 19 28
"36" 21 25
"37" 12 15
"38" 18 22
"39" 14 14
"40" 22 22
"41" 17 20
"42" 20 21
"43" 14 15
"44" 20 23
"45" 13 15
"46" 27 32
"47" 19 19
"48" 20 22
"49" 13 19
"50" 20 20
"51" 1 22
"52" 3 23
"53" 0 13
"54" 5 20
"55" 1 25
"56" 2 20
"57" 10 23
"58" 0 22
"59" 1 22
"60" 0 24
"61" 0 17
"62" 4 15
"63" 2 20
"64" 4 19
"65" 1 18
"66" 1 28
"67" 9 26
"68" 0 18
"69" 0 14
"70" 3 22
"71" 1 16
"72" 11 28
"73" 2 23
"74" 3 15
"75" 0 17
"76" 2 21
"77" 0 22
"78" 4 20
"79" 0 25
"80" 2 21
"81" 0 21
"82" 12 28
"83" 1 18
"84" 2 19
"85" 0 12
"86" 0 20
"87" 0 23
"88" 1 11
"89" 0 15
"90" 1 24
"91" 1 17
"92" 6 18
"93" 1 14
"94" 4 18
"95" 0 21
"96" 0 12
"97" 8 22
"98" 0 15
"99" 7 21
"100" 1 25
